"Year2","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med"
1965,-0.0707529582541574,0.0380957206203494,-0.000369855807235019,0.127623026272811,-0.0318482043811969,0.0771400158832395
1966.04651162791,-0.072248962602338,0.0393987999891965,-2.23815152460776e-06,0.130070355887195,-0.0335831798696537,0.0759995650701615
1967.09302325581,-0.0768962653024989,0.0391783615825869,-0.00127449443222898,0.141468118408347,-0.0362536820419103,0.075865162290997
1968.13953488372,-0.0823456153063229,0.0381859020064593,-0.00114469156764003,0.149305122445352,-0.0397344916327973,0.0788968145607371
1969.18604651163,-0.0867498098373178,0.0394772216291454,-0.00322041301751656,0.148815908459313,-0.04334035888405,0.0800621236375347
1970.23255813953,-0.0888839690981882,0.0410222217422258,-0.00913872380013454,0.147465961244647,-0.0474068789269379,0.0838197902925412
1971.27906976744,-0.0870079609879393,0.0460053678884161,-0.0123055613241009,0.154469874796897,-0.0498145156029059,0.0838041547848629
1972.32558139535,-0.0907677637180471,0.0432772600437086,-0.0129726754073189,0.163112377931488,-0.0504833529975102,0.0856017102639628
1973.37209302326,-0.0902820090306425,0.0461083478904597,-0.0113265009650723,0.172376850241776,-0.0528794698052781,0.0911784893821006
1974.41860465116,-0.0923036743718026,0.0503082260317782,-0.0148664624065684,0.174473666692101,-0.0557269508846936,0.0942327732406445
1975.46511627907,-0.0968147647048544,0.0527888700987842,-0.0151054651707036,0.17467841677874,-0.05585036403464,0.0977571324979789
1976.51162790698,-0.0991520514593959,0.0584432890634211,-0.0168163463274479,0.172404287385296,-0.0574038568528717,0.100205327103366
1977.55813953488,-0.101992295799585,0.0551587291850963,-0.0204175588742565,0.176713528245012,-0.058771985976379,0.102820031980551
1978.60465116279,-0.100070550910587,0.0572049582545659,-0.0215138911145959,0.16285572167412,-0.0614224806049495,0.101959295965003
1979.6511627907,-0.0951834185477914,0.0560650203005496,-0.0231396289450027,0.163790696395076,-0.060523825987656,0.102601478351795
1980.6976744186,-0.0934087045922386,0.0628169033642478,-0.0235543727159442,0.161987474924287,-0.0599442585924494,0.104505118984662
1981.74418604651,-0.0899496443783867,0.0618696047031487,-0.0213528652924961,0.155327273048233,-0.0573441255814267,0.105424824588589
1982.79069767442,-0.0866368607242454,0.0644113923313034,-0.0197371306920904,0.152827741697865,-0.0551599619619826,0.104269529940123
1983.83720930233,-0.0820660993057591,0.0638707100640247,-0.0198925506942844,0.152235073596991,-0.0520605508248383,0.106614309702157
1984.88372093023,-0.0751640485387463,0.0594612812365312,-0.0193403366142165,0.1503684394797,-0.0468432303747206,0.103994313110716
1985.93023255814,-0.0680233959038848,0.058686095657534,-0.0192388209267307,0.139816551843165,-0.043250291677858,0.098453496343417
1986.97674418605,-0.060874393464959,0.0598612139781104,-0.0160642683412957,0.131484413646047,-0.0372098702760868,0.0933237574795363
1988.02325581395,-0.0541271353389513,0.0583762240163287,-0.00998796625287543,0.120775151532638,-0.0314957725307183,0.0876525899817797
1989.06976744186,-0.0471325370847412,0.0518518039072647,-0.00342273190987205,0.112406290244878,-0.0253521422436028,0.0784962408457901
1990.11627906977,-0.0429015307774369,0.0443273605471354,0.00635900879272233,0.109886298480987,-0.018539159247894,0.0712799893618199
1991.16279069767,-0.0387340562619304,0.0385526373961843,0.0121205987009796,0.0944593812814242,-0.0097561462620879,0.0643534887222468
1992.20930232558,-0.0267560386256934,0.0329802880795645,0.0225996654954325,0.0871479120576489,-0.00414220739905306,0.056643364852886
1993.25581395349,-0.022827459404198,0.0287864267648411,0.0249170034576449,0.0798739667560371,0,0.0493262610460753
1994.3023255814,-0.0229739425700852,0.0271602701197563,0.0225695826860852,0.0692206023582541,0.000543921138075455,0.0437029643329167
1995.3488372093,-0.0277166067150941,0.0224276170292118,0.0195308690155777,0.0656709676973554,-0.00155868782498242,0.0395050355823013
1996.39534883721,-0.0335343781410165,0.0201057924478657,0.016614852349359,0.0659938374421403,-0.00606484927819907,0.0399095796119826
1997.44186046512,-0.0374147237241693,0.024436082556902,0.0179329646324796,0.0736987725525842,-0.00944145013949497,0.0449428499184997
1998.48837209302,-0.0350015112714572,0.0264755926049182,0.0132422035013143,0.0765876442184679,-0.00994221017987209,0.0476115954115735
1999.53488372093,-0.032852035161758,0.0281373808723057,0.0161313668422153,0.0767975489909114,-0.00838818304131905,0.0494156803467988
2000.58139534884,-0.032242519719435,0.0277443611829587,0.0196511645185181,0.0767656041985456,-0.00554941162669051,0.0527762696929874
2001.62790697674,-0.0265444539769412,0.0316102924704734,0.024240246763675,0.0829796258827857,-0.00110437336276408,0.0546174953138843
2002.67441860465,-0.016301593321339,0.0322865555824748,0.0310337875228988,0.0918738849892784,0.00497750826949053,0.0591633993686069
2003.72093023256,-0.00774100094764381,0.0362525258994293,0.0381510563186175,0.102277527756402,0.0144042759345986,0.0640301482922847
2004.76744186047,-0.000123423773638424,0.039521875115632,0.0472384446333845,0.110213796553798,0.02317749885834,0.0702127611803418
2005.81395348837,0.00376694640312881,0.0395339481951113,0.0555154837068127,0.1165358195076,0.0275515868853413,0.0733131839138059
2006.86046511628,0.00635024218172717,0.0382858892908215,0.0596721887756736,0.122380805924361,0.0300988348984917,0.0742443579909899
2007.90697674419,0.00428010830599599,0.037272193773963,0.0660840762194193,0.127699577575963,0.0321342107855295,0.0726807814552731
2008.95348837209,0.000498287797814603,0.0359164767157988,0.0700365142125779,0.126136920582946,0.034060937878122,0.0743104791227158
