Name;Common_name;Stage;Group;Order;Family;Species;Lagoon;Year;Year2;Kgs
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1978-79;1978;19975,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1978-79;1978;26494,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1978-79;1978;900,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1978-79;1978;14312,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1979-80;1979;5200,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1979-80;1979;16143,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1979-80;1979;12000,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1980-81;1980;7700,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1980-81;1980;14298,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1980-81;1980;3104,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1980-81;1980;4084,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1981-82;1981;3564,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1981-82;1981;6298,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1981-82;1981;9000,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1981-82;1981;2119,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1981-82;1981;8000,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1981-82;1981;2870,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1982-83;1982;5800,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1982-83;1982;2869,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1982-83;1982;4445,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1982-83;1982;506,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1982-83;1982;3310,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1982-83;1982;2839,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1983-84;1983;7087,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1983-84;1983;2070,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1983-84;1983;437,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1983-84;1983;9600,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1983-84;1983;2663,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1983-84;1983;2475,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1983-84;1983;294,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1983-84;1983;5627,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1984-85;1984;2683,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1984-85;1984;2800,00
