"","Name","commonName","Stage","Group","Order","Family","Species","Lagoon","Year","Year2","Kgs"
"465","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Clot - Baseta","1990-91",1990,20
"466","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Encanyissada","1990-91",1990,16020
"467","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Canal vell","1995-96",1995,2694.5
"468","Crancs","Mediterranean green crab","Adult","Crustaceans","Decapoda","Portunidae","Carcinus aestuarii","Encanyissada","1990-91",1990,531
"469","Palaes","Eckstroms topknot","Adult","Fish","Pleuronectiformes","Scophthalmidae","Phrynorhombus regius + Other sp.","Encanyissada","1990-91",1990,122
"470","Muixarra","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Clot - Baseta","1990-91",1990,26
"471","Llisa","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Canal vell","1995-96",1995,40
"472","Muixarra","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Encanyissada","1990-91",1990,26
"473","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Canal vell","1995-96",1995,3437.5
"474","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1991-92",1991,1137
"475","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1994-95",1994,614
"476","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1994-95",1994,2700
"477","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1991-92",1991,2665.9
"478","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1994-95",1994,157
"479","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1991-92",1991,0.4
"480","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Canal vell","1994-95",1994,23
"481","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Encanyissada","1991-92",1991,98.5
