Maximum_length;Maximum_weight;Maximum_longevity;Rheophily;Limnophily;Long_migration;Potamodromy;Benthic;Water_column;Invertivory;Omnivory;Piscivory;Tolerance;Intolerance;Fusiform_shape;Elongated_form;Eel-like_form;Reproductive_span;Lithophily;Phytophily;Mean_fecundity;Maximum_fecundity;Egg_size;Parental_care;Age_maturity;Length_maturity;Single_spawning;Species;Database
;;;;;;;;;;;;;;;;;;;;;;;;;;;Platichthys flesus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma polylepis;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma willkommii;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Rutilus rutilus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salaria fluviatilis;1
155;;9;;;1;;0;1;1;0;1;;;;;;2;;;8334;13049;6;0;;80;1;Salmo salar;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salmo trutta;1
59.7;;6;;;1;;0;1;1;0;1;;;;;;1.5;;;1210;6894;4.8;0;;11.9;1;Salvelinus fontinalis;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Sander lucioperca;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Scardinius erythrophthalmus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Silurus glanis;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius alburnoides;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius carolitertii;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius laietanus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius palaciosi;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius pyrenaicus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Syngnathus abaster;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Tinca tinca;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Valencia hispanica;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma arcasii;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Acipenser sturio;2
;;;0;0;;;0;1;0;1;0;1;0;;;;;0;0;;;;;;;;Alburnus alburnus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa alosa;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa fallax;2
;;;0;1;;;1;0;1;0;0;0;0;;;;;1;0;;;;;;;;Ameiurus melas;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;2
;;;0;0;;;1;0;1;0;0;0;0;;;;;0;0;;;;;;;;Anguilla anguilla;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius iberus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina boyeri;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula barbatula;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbus haasi;2
;;;1;0;;;1;0;0;1;0;0;0;;;;;1;0;;;;;;;;Barbus meridionalis;2
;;;0;0;;;1;0;0;1;0;1;0;;;;;0;0;;;;;;;;Blicca bjoerkna;2
;;;0;1;;;1;0;0;1;0;0;0;;;;;0;1;;;;;;;;Carassius auratus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius gibelio;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis calderoni;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis paludica;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;2
;;;0;1;;;1;0;0;1;0;0;0;;;;;0;1;;;;;;;;Cyprinus carpio;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;2
;;;0;0;;;0;1;0;0;1;0;1;;;;;0;1;;;;;;;;Esox lucius;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Fundulus heteroclitus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gambusia holbrooki;2
;;;0;1;;;0;1;0;1;0;1;0;;;;;0;0;;;;;;;;Gasterosteus aculeatus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Hucho hucho;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lemmingii;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lusitanicum;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Ictalurus punctatus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra fluviatilis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;2
;;;0;0;;;1;0;0;0;0;0;1;;;;;1;0;;;;;;;;Lampetra planeri;2
;;;0;1;;;0;1;1;0;0;0;0;;;;;0;0;;;;;;;;Lepomis gibbosus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Leuciscus aspius;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Liza aurata;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus bocagei;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus comizo;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus graellsii;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus guiraonis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus microcephalus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus sclateri;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Micropterus salmoides;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Misgurnus anguillicaudatus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Mugil cephalus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus kisutch;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus mykiss;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma arrigonis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma miegii;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma turiense;2
;;;0;0;;;0;1;0;0;1;0;0;;;;;0;0;;;;;;;;Perca fluviatilis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Petromyzon marinus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Platichthys flesus;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma polylepis;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma willkommii;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;2
;;;0;0;;;0;1;0;1;0;1;0;;;;;0;0;;;;;;;;Rutilus rutilus;2
