Maximum_length;Maximum_weight;Maximum_longevity;Rheophily;Limnophily;Long_migration;Potamodromy;Benthic;Water_column;Invertivory;Omnivory;Piscivory;Tolerance;Intolerance;Fusiform_shape;Elongated_form;Eel-like_form;Reproductive_span;Lithophily;Phytophily;Mean_fecundity;Maximum_fecundity;Egg_size;Parental_care;Age_maturity;Length_maturity;Single_spawning;Species;Database
45;3620;9;0;1;0;;1;0;0;1;0;;;;;;1;0;1;3050;3850;;;2.5;;;Ameiurus melas;4
8;;;0;1;0;;0;1;0;1;0;;;;;;2;0;0;;;;;;;;Anaecypris hispanica;4
200;6599;85;0;0;1;;1;0;0;0;1;;;;;;4;0;0;10000000;10000000;;;13;;;Anguilla anguilla;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;4
5;;3;0;1;0;;0;0;1;0;0;;;;;;4;0;1;200;260;;;0.5;;;Aphanius iberus;4
13;8;3;0;1;0;;1;0;1;0;0;;;;;;2;0;1;3000;3000;;;1;;;Atherina boyeri;4
30;;10;0;1;0;;0;0;1;0;0;;;;;;2;0;0;;;;;;;;Australoheros facetus;4
18;200;8;0;0;0;;0;0;1;0;0;;;;;;2;0;0;650000;800000;;;2.5;;;Barbatula barbatula;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;4
30;;6;0;1;0;;0;0;1;0;0;;;;;;2;1;0;4500;7000;;;3;;;Barbus haasi;4
40;200;6;1;0;0;;0;0;0;1;0;;;;;;3;1;0;;1940;;;;;;Barbus meridionalis;4
35;1250;10;0;1;0;;1;0;0;0;0;;;;;;2;0;1;46500;82000;;;4;;;Blicca bjoerkna;4
45;3000;30;0;1;0;;1;0;0;1;0;;;;;;2;0;1;271500;383000;;;3;;;Carassius auratus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius gibelio;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;4
10;;;1;0;0;;0;0;1;0;0;;;;;;2;1;0;;;;;;;;Cobitis calderoni;4
15;;5;0;1;0;;0;0;0;1;0;;;;;;2;0;0;200;200;;;;;;Cobitis paludica;4
10;;;0;0;0;;0;0;;;;;;;;;2;1;0;1400;1400;;;;;;Cobitis vettonica;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;4
102;38000;50;0;1;0;;0;0;0;1;0;;;;;;1;0;1;878500;1664000;;;4;;;Cyprinus carpio;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;4
150;35000;30;0;1;0;;1;0;0;0;1;;;;;;3;0;1;48150;79700;;;3.5;;;Esox lucius;4
13;;;0;1;0;;0;0;0;1;0;;;;;;1;0;1;450;500;;;;;;Fundulus heteroclitus;4
6;;;0;1;0;;0;1;1;0;0;;;;;;4;0;0;50;50;;;0.5;;;Gambusia holbrooki;4
11;;;0;1;0;;0;0;1;0;0;;;;;;3;1;0;270;450;;;1.5;;;Gasterosteus aculeatus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;4
200;100000;15;1;0;0;;0;0;0;0;1;;;;;;2;1;0;5000;5000;;;4.5;;;Hucho hucho;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;4
20;;;0;1;0;;0;0;0;0;0;;;;;;1;0;1;;;;;1;;;Iberochondrostoma lemmingii;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lusitanicum;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;4
120;27000;16;1;0;0;;1;0;0;0;1;;;;;;2;0;0;;;;;4;;;Ictalurus punctatus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;4
50;700;10;0;0;1;;1;0;0;0;0;;;;;;1;1;0;19500;20000;;;5.5;;;Lampetra fluviatilis;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;4
21;;7;1;0;0;;1;0;0;0;0;;;;;;2;1;0;1127;1400;;;4;;;Lampetra planeri;4
22;300;9;0;1;0;;0;0;1;0;0;;;;;;2;0;0;2800;5000;;;2.5;;;Lepomis gibbosus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Leuciscus aspius;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Liza aurata;4
60;3500;;0;1;0;;0;0;0;1;0;;;;;;1;1;0;17500;25000;;;7;;;Luciobarbus bocagei;4
35;700;;0;1;0;;0;0;0;1;0;;;;;;1;1;0;;;;;;;;Luciobarbus comizo;4
80;;16;0;1;0;;0;0;0;1;0;;;;;;3;1;0;15000;25000;;;4;;;Luciobarbus graellsii;4
60;;;0;1;0;;0;0;;;;;;;;;2;1;0;;;;;;;;Luciobarbus guiraonis;4
50;;;0;0;0;;0;0;0;1;0;;;;;;2;1;0;;;;;;;;Luciobarbus microcephalus;4
41.3;;11;0;1;0;;0;0;0;1;0;;;;;;2;1;0;14000;14000;;;6.5;;;Luciobarbus sclateri;4
83;11000;15;0;1;0;;0;0;0;0;1;;;;;;4;1;0;6104;11457;;;3.5;;;Micropterus salmoides;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Misgurnus anguillicaudatus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Mugil cephalus;4
100;16000;16;0;0;1;;1;0;0;0;1;;;;;;5;1;0;3700;6000;;;3;;;Oncorhynchus kisutch;4
70;26000;11;0;0;1;;0;0;0;0;1;;;;;;5;1;0;3000;5000;;;3;;;Oncorhynchus mykiss;4
30;;7;0;0;0;;0;0;0;1;0;;;;;;2;1;0;7800;15000;;;2.5;;;Parachondrostoma arrigonis;4
30;350;7;0;0;0;;0;0;0;1;0;;;;;;2;1;0;7800;15000;;;2.5;;;Parachondrostoma miegii;4
30;;7;0;0;0;;0;0;0;1;0;;;;;;2;1;0;7800;15000;;;2.5;;;Parachondrostoma turiense;4
51;4750;22;0;1;0;;1;0;0;0;1;;;;;;2;0;1;105500;199000;;;2.5;;;Perca fluviatilis;4
86;2500;9;0;1;1;;1;0;0;0;0;;;;;;2;1;0;137000;240000;;;7;;;Petromyzon marinus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;4
50;14000;15;0;1;0;;1;0;1;0;0;;;;;;3;0;0;1250000;2000000;;;3.5;;;Platichthys flesus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;4
50;;10;0;0;0;;0;0;0;1;0;;;;;;2;0;0;4500;8000;;;3.5;;;Pseudochondrostoma duriense;4
40;;10;1;0;0;;0;0;0;1;0;;;;;;3;0;0;4500;8000;;;3.5;;;Pseudochondrostoma polylepis;4
50;;10;0;0;0;;0;0;0;1;0;;;;;;3;0;0;4500;8000;;;3.5;;;Pseudochondrostoma willkommii;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;4
52;2100;12;0;1;0;;0;0;0;1;0;;;;;;1;0;1;7800;14600;;;2.5;;;Rutilus rutilus;4
15;;5;0;0;0;;1;0;1;0;0;;;;;;2;1;0;550;800;;;1.5;;;Salaria fluviatilis;4
120;47000;13;0;0;1;;0;0;0;0;1;;;;;;3;1;0;5500;8000;;;6;;;Salmo salar;4
70;50000;38;0;0;0;;0;1;0;0;1;;;;;;1;1;0;5400;5400;;;4;;;Salmo trutta;4
50;9390;7;0;1;0;;1;0;1;0;0;;;;;;5;1;0;2550;5000;;;2.5;;;Salvelinus fontinalis;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;4
130;18000;16;0;1;0;;0;1;0;0;1;;;;;;2;1;0;682500;1185000;;;4;;;Sander lucioperca;4
45;2041;19;0;1;0;;0;1;0;1;0;;;;;;2;0;1;145000;200000;;;2.5;;;Scardinius erythrophthalmus;4
500;306000;30;0;1;0;;1;0;0;0;1;;;;;;2;0;1;301500;467000;;;4.5;;;Silurus glanis;4
20;;;0;1;0;;0;0;1;0;0;;;;;;1;0;0;;;;;;;;Squalius alburnoides;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;4
25;;7;1;0;0;;0;0;0;0;1;;;;;;1;;;;;;;;;;Squalius carolitertii;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius laietanus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;4
20;;;0;1;0;;1;0;;;;;;;;;0.5;0;0;;;;;;;;Squalius palaciosi;4
25;;7;0;1;0;;0;0;0;0;1;;;;;;2;1;0;4500;6500;;;3;;;Squalius pyrenaicus;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;4
22;;;0;1;0;;1;0;1;0;0;;;;;;3;0;1;;;;;0.5;;;Syngnathus abaster;4
65;7500;10;0;1;0;;1;0;0;1;0;;;;;;2;0;1;553500;827000;;;3.5;;;Tinca tinca;4
8;;;0;1;0;;1;0;1;0;0;;;;;;3;0;1;225;225;;;0.5;;;Valencia hispanica;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;4
;;6;;;;;;;0;1;0;;;;;;1;;;4880;;1.6;0;2;;1;Achondrostoma arcasii;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Acipenser sturio;5
;;6.5;;;;;;;1;0;0;1;0;;;;2;;;6356;;1.3;0;2;;0;Alburnus alburnus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa alosa;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Alosa fallax;5
;;9;;;;;;;0;1;0;0;0;;;;1;;;4000;;2;1;3;;1;Ameiurus melas;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anaecypris hispanica;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Anguilla anguilla;5
;;;;;;;;;;;;;;;;;4;;;;;;;;;;Aphanius baeticus;5
;;1;;;;;;;0;1;0;;;;;;4;;;438;;1.2;0;0.3;;0;Aphanius iberus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Atherina boyeri;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;5
;;5.5;;;;;;;1;0;0;;;;;;2;;;7600;;1;0;2;;0;Barbatula barbatula;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;5
;;7.5;;;;;;;1;0;0;;;;;;2;;;4293;;0.7;0;2;;0;Barbus haasi;5
;;;;;;;;;1;0;0;;;;;;2;;;1940;;2;0;;;1;Barbus meridionalis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Blicca bjoerkna;5
;;;;;;;;;0;1;0;;;;;;2;;;180000;;1.6;0;2;;0;Carassius auratus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Carassius gibelio;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon labrosus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelon ramada;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis bilineata;5
;;;;;;;;;1;0;0;;;;;;3;;;200;;;0;;;;Cobitis calderoni;5
;;4;;;;;;;1;0;0;;;;;;3;;;1100;;1;0;1;;0;Cobitis paludica;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cobitis vettonica;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;5
;;17.5;;;;;;;0;1;0;0;0;;;;3;;;190778;;1.5;0;2;;1;Cyprinus carpio;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Dicentrarchus labrax;5
;;20;;;;;;;0;0;1;0;1;;;;1;;;24870;;2;0;3;;1;Esox lucius;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Fundulus heteroclitus;5
;;1;;;;;;;1;0;0;;;;;;6;;;250;;1.5;1;0.3;;0;Gambusia holbrooki;5
;;1;;;;;;;1;0;0;1;0;;;;4;;;100;;1.7;1;1;;0;Gasterosteus aculeatus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Hucho hucho;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lemmingii;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma lusitanicum;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Ictalurus punctatus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra fluviatilis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra planeri;5
;;7;;;;;;;1;0;0;0;0;;;;3;;;7336;;1;1;2;;1;Lepomis gibbosus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Leuciscus aspius;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Liza aurata;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus bocagei;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus comizo;5
;;11;;;;;;;0;1;0;;;;;;3;;;25000;;1.6;0;4;;1;Luciobarbus graellsii;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus guiraonis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus microcephalus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Luciobarbus sclateri;5
;;15;;;;;;;0;0;1;;;;;;2;;;25544;;1.7;1;2;;1;Micropterus salmoides;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Misgurnus anguillicaudatus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Mugil cephalus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus kisutch;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Oncorhynchus mykiss;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma arrigonis;5
;;7.5;;;;;;;0;1;0;;;;;;1;;;3200;;;0;4;;1;Parachondrostoma miegii;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma turiense;5
;;8;;;;;;;0;0;1;0;0;;;;0.5;;;26000;;2.3;0;3;;1;Perca fluviatilis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Petromyzon marinus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Platichthys flesus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma polylepis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma willkommii;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;5
;;10.5;;;;;;;0;1;0;1;0;;;;1;;;18519;;1.2;0;2.5;;1;Rutilus rutilus;5
;;4;;;;;;;1;0;0;;;;;;3;;;513;;0.7;1;1;;0;Salaria fluviatilis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salmo salar;5
;;5;;;;;;;1;0;0;0;1;;;;0.5;;;1220;;3.8;0;2.6;;1;Salmo trutta;5
;;6;;;;;;;1;0;0;;;;;;1.5;;;6894;;4.8;0;2;;1;Salvelinus fontinalis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;5
;;20;;;;;;;0;0;1;0;0;;;;0.5;;;260000;;0.9;1;3.5;;1;Sander lucioperca;5
;;10;;;;;;;0;1;0;0;0;;;;1;;;36940;;1.3;0;2;;1;Scardinius erythrophthalmus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Silurus glanis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius alburnoides;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius carolitertii;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius laietanus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius palaciosi;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius pyrenaicus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Syngnathus abaster;5
;;8;;;;;;;0;1;0;0;0;;;;3;;;280000;;0.9;0;3;;0;Tinca tinca;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Valencia hispanica;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma arcasii;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;6
;;;1;;1;0;1;;0;1;;0;0;;;;;1;0;;;;;;;;Acipenser sturio;6
;;;0;;0;0;0;;0;1;;1;0;;;;;0;0;;;;;;;;Alburnus alburnus;6
;;;1;;1;0;0;;0;0;;0;1;;;;;0;0;;;;;;;;Alosa alosa;6
;;;1;;1;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Alosa fallax;6
;;;0;;0;0;1;;0;1;;1;0;;;;;1;0;;;;;;;;Ameiurus melas;6
;;;0;;0;0;0;;0;0;;0;1;;;;;0;0;;;;;;;;Anaecypris hispanica;6
;;;0;;1;0;1;;0;0;;1;0;;;;;0;0;;;;;;;;Anguilla anguilla;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Aphanius baeticus;6
;;;0;;0;0;0;;1;0;;0;1;;;;;0;1;;;;;;;;Aphanius iberus;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;1;;;;;;;;Atherina boyeri;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Australoheros facetus;6
;;;1;;0;0;1;;0;0;;0;0;;;;;1;0;;;;;;;;Barbatula barbatula;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Barbatula quignardi;6
;;;1;;0;0;1;;1;0;;0;0;;;;;1;0;;;;;;;;Barbus haasi;6
;;;1;;0;1;1;;1;0;;0;0;;;;;1;0;;;;;;;;Barbus meridionalis;6
;;;0;;0;0;1;;0;1;;1;0;;;;;0;0;;;;;;;;Blicca bjoerkna;6
;;;0;;0;0;1;;0;1;;1;0;;;;;0;1;;;;;;;;Carassius auratus;6
;;;0;;0;0;1;;0;1;;1;0;;;;;0;1;;;;;;;;Carassius gibelio;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Chelon labrosus;6
;;;0;;0;0;0;;0;0;;1;0;;;;;0;0;;;;;;;;Chelon ramada;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Cobitis bilineata;6
;;;1;;0;0;1;;1;0;;0;1;;;;;1;0;;;;;;;;Cobitis calderoni;6
;;;0;;0;0;1;;1;0;;1;0;;;;;0;0;;;;;;;;Cobitis paludica;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Cobitis vettonica;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus aturi;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Cottus hispaniolensis;6
;;;0;;0;0;1;;0;1;;1;0;;;;;0;1;;;;;;;;Cyprinus carpio;6
;;;0;;0;0;0;;1;0;;0;0;;;;;0;0;;;;;;;;Dicentrarchus labrax;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;1;;;;;;;;Esox lucius;6
;;;0;;0;0;0;;0;0;;1;0;;;;;0;0;;;;;;;;Fundulus heteroclitus;6
;;;0;;0;0;0;;1;0;;1;0;;;;;0;0;;;;;;;;Gambusia holbrooki;6
;;;0;;0;0;0;;0;1;;1;0;;;;;0;0;;;;;;;;Gasterosteus aculeatus;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio lozanoi;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Gobio occitaniae;6
;;;1;;0;1;0;;0;0;;0;1;;;;;1;0;;;;;;;;Hucho hucho;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma almacai;6
;;;0;;0;0;0;;0;1;;0;0;;;;;0;0;;;;;;;;Iberochondrostoma lemmingii;6
;;;0;;0;0;0;;0;0;;1;0;;;;;0;0;;;;;;;;Iberochondrostoma lusitanicum;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma olisiponensis;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Iberochondrostoma oretanum;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Ictalurus punctatus;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra alavariensis;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra auremensis;6
;;;1;;1;0;1;;0;0;;0;1;;;;;1;0;;;;;;;;Lampetra fluviatilis;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Lampetra lusitanica;6
;;;1;;0;1;1;;0;0;;0;1;;;;;1;0;;;;;;;;Lampetra planeri;6
;;;0;;0;0;0;;1;0;;1;0;;;;;0;0;;;;;;;;Lepomis gibbosus;6
;;;0;;0;1;0;;0;0;;0;0;;;;;1;0;;;;;;;;Leuciscus aspius;6
;;;0;;0;0;0;;0;1;;0;0;;;;;0;0;;;;;;;;Liza aurata;6
;;;0;;0;1;1;;0;1;;1;0;;;;;1;0;;;;;;;;Luciobarbus bocagei;6
;;;0;;0;1;0;;0;1;;1;0;;;;;1;0;;;;;;;;Luciobarbus comizo;6
;;;0;;0;1;1;;0;1;;1;0;;;;;1;0;;;;;;;;Luciobarbus graellsii;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Luciobarbus guiraonis;6
;;;0;;0;1;1;;0;1;;0;0;;;;;1;0;;;;;;;;Luciobarbus microcephalus;6
;;;0;;0;1;1;;0;1;;1;0;;;;;1;0;;;;;;;;Luciobarbus sclateri;6
;;;0;;0;0;0;;0;0;;1;0;;;;;0;1;;;;;;;;Micropterus salmoides;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Misgurnus anguillicaudatus;6
;;;0;;1;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Mugil cephalus;6
;;;1;;1;0;0;;0;0;;0;0;;;;;1;0;;;;;;;;Oncorhynchus kisutch;6
;;;1;;0;1;0;;0;0;;0;0;;;;;1;0;;;;;;;;Oncorhynchus mykiss;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Parachondrostoma arrigonis;6
;;;1;;0;1;1;;0;0;;0;1;;;;;1;0;;;;;;;;Parachondrostoma miegii;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Parachondrostoma turiense;6
;;;0;;0;0;0;;0;0;;1;0;;;;;0;0;;;;;;;;Perca fluviatilis;6
;;;1;;1;0;1;;0;0;;0;1;;;;;1;0;;;;;;;;Petromyzon marinus;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;6
;;;0;;0;0;1;;0;0;;0;0;;;;;0;0;;;;;;;;Platichthys flesus;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;6
;;;1;;0;1;1;;0;0;;0;0;;;;;1;0;;;;;;;;Pseudochondrostoma polylepis;6
;;;1;;0;1;1;;0;0;;0;0;;;;;1;0;;;;;;;;Pseudochondrostoma willkommii;6
;;;0;;0;0;0;;0;1;;1;0;;;;;0;0;;;;;;;;Pseudorasbora parva;6
;;;0;;0;0;0;;0;1;;1;0;;;;;0;0;;;;;;;;Rutilus rutilus;6
;;;0;;0;0;1;;1;0;;0;0;;;;;1;0;;;;;;;;Salaria fluviatilis;6
;;;1;;1;0;0;;1;0;;0;1;;;;;1;0;;;;;;;;Salmo salar;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Salmo trutta;6
;;;1;;0;0;0;;1;0;;0;1;;;;;1;0;;;;;;;;Salvelinus fontinalis;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Sander lucioperca;6
;;;0;;0;0;0;;0;1;;0;0;;;;;0;1;;;;;;;;Scardinius erythrophthalmus;6
;;;0;;0;0;1;;0;0;;0;0;;;;;0;1;;;;;;;;Silurus glanis;6
;;;0;;0;0;0;;1;0;;0;0;;;;;0;1;;;;;;;;Squalius alburnoides;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Squalius aradensis;6
;;;0;;0;0;0;;1;0;;0;0;;;;;1;0;;;;;;;;Squalius carolitertii;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;6
;;;1;;0;1;0;;0;1;;0;0;;;;;1;0;;;;;;;;Squalius laietanus;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Squalius palaciosi;6
;;;0;;0;0;0;;1;0;;0;0;;;;;1;0;;;;;;;;Squalius pyrenaicus;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;6
;;;0;;0;0;0;;0;0;;0;0;;;;;0;0;;;;;;;;Syngnathus abaster;6
;;;0;;0;0;1;;0;1;;1;0;;;;;0;1;;;;;;;;Tinca tinca;6
;;;0;;0;0;0;;1;0;;0;1;;;;;0;1;;;;;;;;Valencia hispanica;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma arcasii;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;7
