Name;Common_name;Stage;Group;Order;Family;Species;Lagoon;Year;Year2;Kgs
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1965-66;1965;8830,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1965-66;1965;1104,00
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1965-66;1965;2380,00
Llobarro;European seabass;Adult;Fish;Perciformes;Moronidae;Dicentrarchus labrax;Tancada;1965-66;1965;141,00
Llissal;Mullet;Adult;Fish;Mugiliformes ;Mugilidae;Mullet ind.;Tancada;1965-66;1965;5348,00
Dorada;Sea bream;Adult;Fish;Perciformes;Sparidae;Sparus aurata;Tancada;1965-66;1965;312,00
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1965-66;1965;196,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;2010-11;2010;4848,10
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1965-66;1965;14598,00
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;2010-11;2010;227,42
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1965-66;1965;215,00
Gamba;Shrimp;Adult;Crustaceans;Decapoda;Aristeidae;Aristeus sp.;Canal vell;2010-11;2010;29,15
Llobarro;European seabass;Adult;Fish;Perciformes;Moronidae;Dicentrarchus labrax;Encanyissada;1965-66;1965;2318,00
Jovell;Sand smelt;Adult;Fish;Atheriniformes;Atherinidae;Atherina boyeri;Canal vell;2010-11;2010;518,40
Llissal;Mullet;Adult;Fish;Mugiliformes ;Mugilidae;Mullet ind.;Encanyissada;1965-66;1965;46412,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1966-67;1966;10123,00
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1966-67;1966;2830,00
Llobarro;European seabass;Adult;Fish;Perciformes;Moronidae;Dicentrarchus labrax;Tancada;1966-67;1966;129,00
Llissal;Mullet;Adult;Fish;Mugiliformes ;Mugilidae;Mullet ind.;Tancada;1966-67;1966;6956,00
Dorada;Sea bream;Adult;Fish;Perciformes;Sparidae;Sparus aurata;Tancada;1966-67;1966;412,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1966-67;1966;1015,00
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1966-67;1966;216,00
Tenca;Common carp;Adult;Fish;Cyprininiformes;Cyprinidae;Cyprinus carpio;Canal vell;2010-11;2010;596,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1966-67;1966;16348,00
Llobarro;European seabass;Adult;Fish;Perciformes;Moronidae;Dicentrarchus labrax;Canal vell;2010-11;2010;849,10
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1966-67;1966;321,00
Calua;Thinlip mullet;Adult;Fish;Mugiliformes ;Mugilidae;Liza ramada;Canal vell;2010-11;2010;544,75
Llobarro;European seabass;Adult;Fish;Perciformes;Moronidae;Dicentrarchus labrax;Encanyissada;1966-67;1966;3515,00
Llissal;Mullet;Adult;Fish;Mugiliformes ;Mugilidae;Mullet ind.;Canal vell;2010-11;2010;766,00
Llissal;Mullet;Adult;Fish;Mugiliformes ;Mugilidae;Mullet ind.;Encanyissada;1966-67;1966;49130,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1967-68;1967;12090,00
Angula;Eel;Juvenile;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1967-68;1967;5647,00
