month;year;Qmin;Qmean;Qmax
11;2017;66;95;212
12;2017;71;93;139
1;2018;100;298;516
2;2018;145;504;842
3;2018;587;668;850
4;2018;481;1211;1835
5;2018;152;549;1297
6;2018;147;755;1365
7;2018;109;166;284
8;2018;99;140;245
9;2018;107;147;269
10;2018;97;158;295
11;2018;124;317;675
12;2018;141;312;358
1;2019;92;242;675
2;2019;122;459;574
3;2019;124;247;407
4;2019;100;128;182
5;2019;82;123;407
6;2019;81;96;117
7;2019;76;90;209
8;2019;76;89;128
9;2019;76;89;146
10;2019;76;110;354
11;2019;91;190;716
12;2019;257;637;1020
1;2020;348;448;850
2;2020;132;430;674
3;2020;237;555;954
4;2020;362;543;850
5;2020;162;520;1274
6;2020;127;261;393
7;2020;103;135;197
8;2020;90;123;188
9;2020;83;130;215
10;2020;103;218;306
11;2020;140;262;724
12;2020;122;319;418
