Month;Year;ZM_River;ZM_Reservoir;QMean;QMax;Over_500;Over_750;Over_1000;Over_1250;Over_1500;Over_1750;Over_2000;Over_2250;Over_2500;Over_2750;Over_3000;Over_3250;Over_3500;FlowSup_CHE;Flow_CAT;FlowSup_TorAs;Alcalinity_CHE;Var118_CAT;Var119_CAT;Bicarbonate_CHE;Bicarbonate_CAT;Carbonates_CHE;Carbonates_CAT;DurTotal_CHE;DurTotal_CAT;DurCa_CAT;DurMg_CAT;DurPer_CAT;NH4_CHE;NH4_CAT;NH4_TorAs;AS_CHE;AS_CAT;Ca_CHE;Ca_CAT;CN_CHE;CN_CAT;Chloride_CHE;Chloride_CAT;Cu_CHE;Cu_CAT;Cr_CHE;Cr_CAT;ColFec_CHE;ColFec_CAT;ColTot_CHE;ColTot_CAT;StreptoFec_CHE;StreptoFec_CAT;Salmo_CHE;Salmo_CAT;Cond_CHE;Cond_CAT;DBO_CHE;DBO_CAT;Tenso_CHE;Tenso_CAT;Fluor_CHE;Fluor_CAT;Fosfor_CHE;Fosfor_TorAs;Fosfor_CAT;FosforTot_CHE;Fe_CHE;Fe_CAT;Mg_CHE;Mg_CAT;Mn_CHE;Mn_CAT;MES_CHE;MES_CAT;Hg_CHE;Hg_CAT;NO3_CHE;NO3_CAT;NO3_Hen;NO3_TorAs;NO2_CHE;NO2_CAT;NO2_Hen;NH4_Hen;P2O5_Hen;NKj_CHE;NKj_CAT;NKj_Hen;DIN_TorAs;DIP_TorAs;DINP_TorAs;O2Dis_CHE;O2Dis_CAT;O2Per_CHE;O2Per_CAT;pH_CHE;pH_CAT;Pb_CHE;Pb_CAT;K_CHE;K_CAT;SiO2_CHE;SiO2_CAT;SiO2_Hen;Se_CHE;Se_CAT;Na_CHE;Na_CAT;SO4_CHE;SO4_CAT;TempWat_CHE;TempWat_CAT;TempAir_CHE;TempAir_CAT;Tur_CAT;Tur_Hen;Zn_CHE;Zn_CAT;TOC_CAT;TOC_Hen;ChlTotal_Hen
8;2.002;586,22;3.060,00;158,13;192,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160,80;;423.545.760.000,00;158,50;0,00;159,67;;194,77;;0,00;;433,67;310,00;123,67;274,00;0,07;0,03;0,10;0,00136;0,00500;114,00;124,33;0,00;0,01;159,33;170,50;0,00;0,00;0,00;0,00;220,00;140,00;3.400,00;300,00;15,00;15,00;1,50;;1.146,00;1.203,50;1,37;3,00;0,04;0,01;0,25;0,23;0,16;0,17;0,08;0,05;0,08;0,00;27,95;115,33;;0,03;3,83;2,95;0,00;0,00;9,50;9,25;9,250;9,80;;0,05;0,050;0,040;0,080;;0,79;0,790;981,78;22,64;43,07;9,02;8,55;108,42;101,63;8,36;8,15;0,00;0,00;3,80;30,00;;3,83;3,833;0,00;0,00;110,50;4,30;245,50;254,00;24,36;24,38;31,26;23,03;1,51;1,513;0,02;0,00;2,23;2,233;2,725
9;2.002;586,22;3.060,00;178,64;198,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;159,80;;463.039.632.000,00;157,50;0,00;151,00;157,00;184,23;0,00;0,00;;386,67;276,67;110,00;235,67;0,09;0,03;0,12;0,00158;0,00500;102,50;111,00;0,00;0,01;124,00;134,50;0,00;0,00;0,00;0,00;200,00;320,00;865,00;600,00;9,00;180,00;1,50;;988,00;1.034,25;2,27;1,50;0,04;0,01;0,24;0,24;0,24;0,22;0,09;0,11;0,02;0,00;24,70;91,67;;0,03;8,33;2,85;0,00;0,00;10,00;8,98;8,975;10,00;;0,04;0,060;0,040;0,086;;0,49;0,490;1.113,35;36,42;46,69;7,48;8,77;87,94;102,68;8,08;8,18;0,01;0,00;3,40;26,70;5,40;4,73;4,733;0,00;0,00;88,55;3,73;208,50;214,50;23,22;22,80;26,68;19,37;1,97;1,967;0,03;0,00;2,17;2,167;4,768
10;2.002;586,22;3.060,00;114,25;205,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;181,40;;338.139.066.346,17;163,00;0,00;148,75;;181,45;;0,00;;387,00;276,75;110,00;238,25;0,07;0,03;0,10;0,00192;0,00500;107,00;111,00;0,00;0,01;136,00;139,80;0,00;0,00;0,00;0,00;180,00;500,00;1.213,33;1.200,00;19,00;80,00;0,75;;1.007,50;1.060,40;1,00;3,00;0,04;0,01;0,25;0,20;0,28;0,31;0,09;0,11;0,02;0,02;25,95;96,00;;0,07;6,83;2,28;0,00;0,00;10,77;8,58;8,580;11,45;;0,04;0,036;0,040;0,086;0,50;0,29;0,290;903,19;35,44;29,55;8,30;8,62;92,18;95,08;8,28;8,14;0,00;0,00;3,75;26,75;;5,45;5,450;0,00;0,00;99,90;3,95;230,33;224,00;20,34;20,98;22,76;20,80;1,75;1,750;0,02;0,00;2,26;2,260;2,580
11;2.002;586,22;3.060,00;107,24;137,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;401,33;;309.437.676.044,93;155,50;4,67;146,33;;167,13;;5,60;;440,00;317,00;123,33;293,67;0,07;0,03;0,10;0,00196;0,00500;119,00;127,00;0,00;0,01;167,33;181,50;0,00;0,00;0,00;0,00;28.000,00;270,00;135.210,00;900,00;4.500,00;90,00;48,00;;1.166,67;1.234,50;2,10;1,50;0,04;0,01;0,21;0,20;0,23;0,24;0,01;0,11;0,04;0,01;28,40;119,33;;0,03;4,00;2,20;0,00;0,00;10,20;9,45;9,450;10,15;;0,03;0,075;0,040;0,010;;0,35;0,350;746,88;24,15;31,23;8,57;7,74;88,27;78,13;8,33;8,30;0,00;0,00;3,80;30,00;;4,47;4,467;0,00;0,00;118,50;4,47;275,50;277,25;16,33;16,83;11,27;18,53;0,96;0,960;0,01;0,00;2,08;2,075;1,988
12;2.002;586,22;6.623,67;556,53;1.346,30;16,00;7,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;454,67;;1.499.037.495.337,24;159,00;0,00;153,50;;187,28;;0,00;;418,00;305,00;112,75;264,50;0,07;0,03;0,10;0,00150;0,00500;142,50;122,25;0,00;0,01;244,00;167,20;0,00;0,00;0,01;0,00;1.695,00;330,00;2.823,33;800,00;25,00;50,00;1,50;;1.513,33;1.161,40;2,33;3,00;0,04;0,01;0,20;0,18;0,18;0,23;0,06;0,05;0,05;0,06;36,35;117,00;;0,03;10,67;6,84;0,00;0,00;8,60;8,30;8,300;8,50;;0,15;0,146;0,040;0,061;0,50;0,43;0,430;3.047,35;113,44;36,59;10,57;7,30;102,17;68,10;8,10;8,10;0,00;0,00;5,10;27,50;;3,88;3,875;0,00;0,00;173,00;4,58;382,67;248,40;13,90;12,80;16,77;10,85;4,25;4,250;0,02;0,06;2,60;2,600;3,330
1;2.003;385,45;6.623,67;531,44;790,50;19,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;474,33;525,99;1.435.824.872.930,02;158,50;0,00;157,67;;192,33;;0,00;;298,33;238,00;57,33;140,67;0,07;0,03;0,10;0,00104;0,00500;81,85;95,33;0,00;0,01;65,55;74,50;0,00;0,00;0,00;0,00;900,00;380,00;3.927,00;1.200,00;190,00;56,00;1,50;;647,50;660,00;1,33;1,50;0,04;0,01;0,14;0,13;0,14;0,17;0,05;0,05;0,03;0,04;12,75;14,67;;0,03;2,75;6,50;0,00;0,00;8,70;8,98;8,975;8,75;;0,10;0,094;0,031;0,090;;0,41;0,410;3.001,16;78,12;38,65;10,63;7,05;95,95;64,90;8,13;8,00;0,00;0,00;2,60;3,53;;4,17;4,167;0,00;0,00;45,70;52,33;103,00;108,00;10,78;9,48;15,00;;5,90;5,900;0,02;0,01;2,23;2,225;1,342
2;2.003;385,45;6.623,67;1.078,05;2.376,40;28,00;21,00;12,00;6,00;5,00;3,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;790,50;1.079,32;2.603.095.061.059,42;155,00;0,00;158,67;;193,60;;0,00;;283,00;227,33;56,33;124,33;0,24;0,09;0,26;0,00092;0,00500;74,75;91,00;0,00;0,01;43,40;61,75;0,00;0,00;0,00;0,00;220,00;120,00;920,00;2.000,00;80,00;8,00;1,50;;506,67;610,50;2,27;1,50;0,04;0,01;0,11;0,12;0,20;0,15;0,05;0,05;0,06;0,02;9,65;13,67;;0,03;10,33;11,45;0,00;0,00;9,87;9,68;9,675;9,85;;0,11;0,104;0,059;0,090;;0,46;0,460;6.425,35;128,89;50,70;11,80;8,62;97,90;71,70;8,10;8,15;0,00;0,00;2,60;12,13;;5,03;5,033;0,00;0,00;30,35;41,33;70,80;90,50;7,83;8,68;1,83;;10,00;10,000;0,02;0,00;2,10;2,100;3,213
3;2.003;385,45;6.623,67;816,60;1.900,00;16,00;14,00;10,00;9,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;576,17;631,88;2.138.684.719.517,71;161,50;0,00;162,00;;197,63;;0,00;;283,33;227,33;56,33;121,33;0,10;0,07;0,10;0,00117;0,00500;82,30;91,00;0,00;0,01;55,03;57,50;0,00;0,00;0,00;0,00;950,00;80,00;2.005,00;1.300,00;40,00;19,00;9,00;;606,67;637,00;2,47;1,50;0,04;0,01;0,16;0,11;0,03;0,03;0,05;0,05;0,05;0,00;12,75;13,67;;0,03;5,33;15,40;0,00;0,00;9,13;9,58;9,575;9,10;;0,09;0,100;0,030;0,090;;0,36;0,360;4.647,55;21,49;383,58;10,80;10,00;99,13;86,70;8,17;8,08;0,00;0,00;2,45;2,93;;4,77;4,767;0,00;0,00;38,60;38,00;99,45;96,50;11,50;11,15;16,73;;22,65;22,650;0,01;0,00;9,60;9,600;5,543
4;2.003;385,45;6.623,67;362,24;535,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;299,17;150,74;954.200.896.118,27;151,00;0,00;154,25;;163,18;;0,00;;277,75;215,50;63,00;123,50;0,07;0,04;0,10;0,00086;0,00500;83,80;86,25;0,01;0,01;60,10;59,00;0,00;0,00;0,00;0,00;235,00;210,00;1.680,00;2.100,00;90,00;16,00;0,50;;640,00;646,60;1,00;1,50;0,04;0,01;0,16;0,13;0,07;0,08;0,05;0,05;0,04;0,00;15,30;15,25;;0,03;4,33;5,44;0,00;0,00;8,13;7,92;7,920;8,10;;0,05;0,104;0,031;0,090;1,10;1,20;1,200;1.851,40;23,54;81,30;10,03;9,60;102,00;98,00;8,27;8,20;0,00;0,00;2,20;2,55;;3,05;3,050;0,00;0,00;43,15;39,00;115,67;106,60;16,33;15,86;22,33;;4,13;4,125;0,04;0,00;1,52;1,520;9,675
5;2.003;385,45;6.623,67;602,92;1.473,70;15,00;10,00;5,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;676,17;226,13;1.623.103.144.083,71;154,50;0,00;159,67;;194,80;;0,00;;325,67;246,33;79,33;166,00;0,07;0,04;0,10;0,00100;0,00500;92,00;98,67;0,01;0,01;86,38;88,00;0,00;0,00;0,00;0,00;790,00;250,00;1.703,33;800,00;83,00;10,00;0,25;;800,00;774,50;1,00;1,50;0,04;0,01;0,18;0,15;0,11;0,12;0,05;0,09;0,09;0,00;18,80;19,33;;0,03;7,25;5,75;0,00;0,00;9,20;9,33;9,325;9,10;;0,08;0,106;0,036;0,090;0,50;0,33;0,330;3.523,57;61,58;57,29;9,25;9,90;100,58;105,00;8,03;8,00;0,00;0,00;2,50;3,00;;3,30;3,300;0,00;0,00;64,30;62,33;158,33;141,75;19,10;18,58;24,03;;4,33;4,333;0,02;0,00;1,40;1,400;4,340
6;2.003;385,45;6.623,67;142,75;211,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160,67;75,49;396.325.908.286,84;144,00;4,00;135,00;;154,93;;4,80;;309,50;231,75;78,00;174,50;0,07;0,03;0,10;0,00145;0,00500;82,35;92,75;0,01;0,01;78,27;90,40;0,00;0,00;0,00;0,00;825,00;150,00;26.000,00;280,00;35,00;50,00;2,00;;693,33;765,00;1,97;3,00;0,04;0,01;0,16;0,16;0,19;0,22;0,05;0,05;0,05;0,00;17,25;19,00;;0,03;6,67;3,40;0,00;0,00;7,70;8,02;8,020;7,75;;0,02;0,104;0,030;0,090;0,50;0,49;0,490;735,85;28,77;25,63;8,63;7,20;107,33;91,00;8,07;8,04;0,00;0,00;2,95;2,83;;2,83;2,825;0,00;0,00;57,60;57,75;141,00;147,60;26,57;25,04;32,70;;1,98;1,975;0,03;0,00;1,86;1,860;2,224
7;2.003;385,45;6.623,67;115,59;135,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;156,00;65,22;343.367.751.328,02;143,50;0,00;143,00;;174,47;;0,00;;349,33;254,67;95,00;206,33;0,07;0,04;0,10;0,00160;0,00500;98,00;102,00;0,01;0,01;97,17;104,75;0,00;0,00;0,00;0,00;250,00;100,00;46.775,00;300,00;40,00;131,00;0,50;;860,00;842,25;1,00;3,00;0,04;0,01;0,22;0,18;0,08;0,08;0,05;0,05;0,02;0,00;22,05;23,00;;0,03;3,17;4,85;0,00;0,00;8,53;8,40;8,400;8,70;;0,03;0,050;0,030;0,090;;0,51;0,510;715,42;8,67;87,11;8,03;7,40;99,90;93,00;8,43;8,15;0,00;0,00;3,25;3,63;;3,87;3,867;0,00;0,00;71,75;69,00;189,50;188,50;26,70;26,75;30,43;;2,13;2,216;0,03;0,00;2,95;2,950;3,988
8;2.003;385,45;6.623,67;106,16;121,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;140,67;62,08;319.669.107.105,69;167,00;0,00;143,33;;174,83;;0,00;;372,00;271,67;100,33;228,67;0,07;0,16;0,10;0,00240;0,00500;92,05;109,00;0,01;0,01;114,67;112,50;0,00;0,00;0,00;0,00;120,00;100,00;700,00;133,60;55,00;240,00;0,50;;716,67;949,00;1,00;1,50;0,04;0,01;0,20;0,22;0,09;0,10;0,05;0,09;0,03;0,00;41,35;24,33;;0,03;3,83;4,65;0,00;0,00;8,67;7,98;7,975;8,35;;0,04;0,165;0,032;0,090;;0,42;0,420;641,70;10,43;72,67;8,20;6,60;94,00;83,00;8,33;8,15;0,00;0,00;3,55;3,83;;4,97;4,967;;0,00;67,95;73,33;207,00;205,50;22,77;26,83;30,73;;0,62;2,060;0,02;0,00;2,57;2,567;4,693
9;2.003;385,45;6.623,67;135,01;228,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;162,83;73,70;383.795.653.775,18;169,00;0,00;150,75;;176,25;;0,00;;371,50;264,25;107,00;195,75;0,07;0,03;0,10;0,00206;0,00500;113,50;106,00;0,01;0,01;121,33;128,00;0,00;0,00;0,00;0,00;250,00;9.000,00;2.250,00;41.000,00;110,00;128,00;0,50;;983,33;1.026,60;1,00;1,50;0,04;0,03;0,25;0,29;0,14;0,15;0,05;0,05;0,06;0,00;29,15;26,00;;0,03;2,83;3,64;0,00;0,00;11,50;9,72;9,720;11,50;;0,05;0,042;0,031;0,090;;0,39;0,390;1.045,08;18,42;56,97;8,13;8,03;98,27;104,00;8,27;8,08;0,00;0,00;4,00;3,90;;5,85;5,850;0,00;0,00;89,65;85,00;233,50;227,40;25,03;24,70;24,93;;1,30;1,503;0,08;0,00;2,24;2,240;4,606
10;2.003;385,45;6.623,67;184,37;313,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;263,67;112,82;524.680.805.534,03;159,00;0,00;153,67;;187,47;;0,00;;376,00;267,67;108,33;222,33;0,07;0,04;0,10;0,00207;0,00500;112,50;107,33;0,01;0,01;142,67;137,25;0,00;0,00;0,00;0,00;315,00;640,00;2.133,33;1.500,00;41,50;63,00;0,75;;1.066,67;1.086,50;1,00;1,50;0,04;0,01;0,17;0,21;0,17;0,16;0,15;0,05;0,03;0,00;17,10;26,33;;0,03;6,33;3,05;0,00;0,00;9,67;9,35;9,350;10,00;;0,05;0,048;0,032;0,145;0,50;0,44;0,440;1.240,59;27,80;45,49;8,33;7,70;94,23;88,00;8,30;8,13;0,00;0,00;3,75;3,83;;4,70;4,700;0,00;0,01;97,95;91,00;231,67;232,25;21,43;20,85;16,33;;1,63;2,566;0,04;0,00;2,35;2,350;3,128
11;2.003;385,45;6.623,67;495,08;1.053,00;12,00;5,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;561,83;492,24;1.309.547.724.491,89;172,00;0,00;165,00;;201,27;;0,00;;375,00;269,67;105,33;210,00;0,07;0,04;0,10;0,00131;0,00500;106,00;108,00;0,01;0,01;110,00;123,00;0,00;0,00;0,01;0,00;730,00;870,00;2.550,00;2.100,00;280,00;132,00;0,50;;900,00;1.003,25;1,33;1,50;0,04;0,01;0,18;0,16;0,24;0,31;0,05;0,05;0,07;0,00;18,70;25,67;;0,03;23,67;14,00;0,00;0,00;10,53;10,08;10,075;10,45;;0,05;0,050;0,037;0,090;;0,76;0,760;3.248,74;130,46;33,00;8,17;8,95;81,43;99,00;8,27;8,13;0,00;0,00;4,25;17,37;;4,67;4,667;0,00;0,01;92,55;92,00;197,50;207,75;15,70;16,93;10,00;;5,60;16,996;0,03;0,00;2,23;2,225;1,153
12;2.003;385,45;6.623,67;669,70;1.194,60;22,00;8,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;605,75;667,99;1.796.091.850.740,90;161,00;0,00;166,50;;203,13;;0,00;;368,25;266,25;101,75;201,75;0,07;0,03;0,10;0,00100;0,00500;105,00;106,75;0,01;0,01;121,67;122,80;0,00;0,00;0,00;0,00;300,00;360,00;1.350,00;420,00;220,00;100,00;0,50;;969,00;991,20;1,00;1,50;0,04;0,01;0,17;0,16;0,03;0,01;0,05;0,05;0,02;0,01;23,90;24,75;;0,03;10,00;14,32;0,00;0,00;9,53;9,22;9,220;9,50;;0,08;0,040;0,031;0,090;0,50;0,80;0,800;4.064,39;5,93;685,76;10,60;9,79;97,27;89,70;8,14;8,18;0,00;0,00;3,40;4,45;;4,70;4,700;0,00;0,00;93,60;88,00;157,67;206,60;11,89;12,28;6,37;;8,85;10,224;0,02;0,00;2,15;2,150;0,758
1;2.004;136,00;1.317,33;716,59;990,00;31,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;656,88;714,57;1.919.169.140.924,26;174,50;2,50;170,00;;207,40;;3,00;;319,67;229,33;90,67;150,00;0,07;0,04;0,10;0,00100;0,00500;102,50;92,00;0,01;0,01;87,70;94,75;0,00;0,00;0,00;0,00;920,00;190,00;1.800,00;2.400,00;144,00;22,00;2,00;;779,70;839,50;1,40;1,50;0,04;0,01;0,15;0,13;0,14;0,14;0,05;0,05;0,06;0,00;25,30;22,00;;0,03;5,00;8,35;0,00;0,00;11,98;11,25;11,250;12,00;;0,15;0,103;0,048;0,090;;0,42;0,420;5.446,61;85,50;63,77;11,10;9,40;96,90;81,70;8,17;8,20;0,00;0,00;4,30;4,70;;5,63;5,633;0,00;0,00;27,90;72,00;121,50;157,25;9,56;9,20;7,43;;6,73;6,153;0,02;0,01;;2,325;1,520
2;2.004;136,00;1.317,33;512,12;852,25;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;375,88;499,32;1.254.110.886.526,63;177,50;2,50;169,33;;206,57;;3,00;;281,33;219,00;63,33;112,33;0,07;0,03;0,10;0,00102;0,00500;92,90;87,67;0,01;0,01;80,80;73,00;0,00;0,00;0,00;0,00;290,00;140,00;340,00;1.200,00;43,00;23,00;0,50;;714,56;727,25;1,00;1,50;0,04;0,01;0,15;0,12;0,18;0,18;0,13;0,05;0,05;0,00;14,90;15,33;;0,03;3,33;5,00;0,00;0,00;11,60;11,25;11,250;11,65;;0,09;0,099;0,040;0,133;;0,38;0,380;3.458,31;74,47;46,58;10,87;6,60;96,73;64,90;8,16;8,28;0,00;0,00;2,45;2,97;;4,60;4,600;0,00;0,00;66,55;48,33;124,50;117,00;10,47;10,50;9,33;;4,07;4,479;0,02;0,00;;2,025;2,080
3;2.004;136,00;1.317,33;655,34;829,50;23,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;761,88;653,07;1.784.720.304.000,00;189,50;2,50;167,33;;204,13;;3,00;;315,00;237,00;78,00;147,67;0,07;0,03;0,10;0,00092;0,00500;108,00;95,00;0,01;0,01;112,67;93,75;0,00;0,00;0,00;0,00;270,00;220,00;1.184,00;360,00;100,00;21,00;0,50;0,00;882,00;816,25;1,00;1,50;0,04;0,01;0,15;0,11;0,03;0,01;0,05;0,05;0,07;0,00;20,40;19,00;;0,03;6,00;5,77;0,00;0,00;14,70;12,00;12,000;14,70;;0,07;0,100;0,045;0,090;;0,38;0,380;6.173,35;5,89;1.048,18;11,07;10,20;98,07;89,50;8,19;8,25;0,00;0,00;3,20;3,33;;3,80;3,800;0,00;0,00;100,50;65,00;179,00;145,75;10,83;10,60;10,60;;3,53;6,681;0,02;0,00;;1,967;8,292
4;2.004;136,00;1.317,33;690,64;884,75;30,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;651,13;686,39;1.797.391.728.000,00;167,00;2,50;169,75;;207,10;;3,00;;310,25;238,50;72,00;140,50;0,07;0,03;0,10;0,00095;;94,20;95,50;0,01;;73,20;70,00;0,00;;0,00;;152,00;;413,33;;18,00;;0,50;;719,22;720,75;1,00;;0,04;;0,13;;0,04;0,04;;0,05;0,04;;15,35;17,50;;;5,67;4,85;0,00;;11,80;11,25;11,250;11,85;0,10;0,10;0,105;0,040;;0,50;;;5.038,74;20,70;491,21;10,17;;99,20;;8,11;8,18;0,00;;3,75;2,65;;4,30;4,300;0,00;;50,65;47,75;120,33;121,50;14,69;13,08;19,10;;6,18;7,472;0,01;;;3,085;6,230
5;2.004;136,00;1.317,33;699,51;1.011,00;22,00;21,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;689,00;693,74;1.913.146.560.000,00;174,50;2,50;166,25;;202,83;;3,00;;320,25;241,25;79,00;154,00;0,09;0,03;0,14;0,00094;;97,40;96,50;0,01;;84,70;76,75;0,00;;0,00;;175,00;;558,67;;22,50;;0,25;;769,60;760,25;1,38;;0,04;;0,16;;0,07;0,05;;0,10;0,05;;18,95;19,25;;;7,50;10,25;0,00;;11,85;10,00;10,000;12,10;;0,10;0,114;0,040;;0,50;;;5.529,24;28,87;506,27;9,68;;101,25;;8,12;8,15;0,00;;0,50;2,73;;3,38;3,375;0,00;;73,95;51,00;161,00;137,25;18,14;17,40;22,30;;6,70;8,454;0,02;;;1,933;2,696
6;2.004;136,00;1.317,33;224,50;645,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;187,38;221,74;609.127.344.000,00;140,50;2,50;146,00;;178,13;;3,00;;285,00;212,33;72,67;139,00;0,07;0,03;0,10;0,00109;;75,35;85,00;0,01;;59,33;64,67;0,00;;0,00;;180,00;;966,67;;57,00;;0,50;;612,22;687,67;1,00;;0,04;;0,17;;0,18;0,19;;0,12;0,03;;17,00;17,67;;;3,67;;0,00;;7,67;7,33;7,333;7,80;0,02;0,04;0,113;0,040;;0,50;;;1.140,91;37,56;34,70;8,33;;99,47;;8,17;7,97;0,00;;1,95;2,50;;4,03;4,033;0,00;;37,40;43,67;107,33;124,33;24,51;22,20;27,87;;2,27;3,701;0,01;;;1,650;2,725
7;2.004;136,00;1.317,33;140,70;234,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168,38;143,22;442.927.872.000,00;148,00;2,50;150,00;;183,00;;3,00;;321,00;232,00;89,00;177,00;0,07;0,03;0,10;0,00105;;97,70;93,00;0,01;;90,80;82,67;0,00;;0,00;;5.000,00;;17.200,00;;340,00;;1,00;;795,44;782,33;1,00;;0,04;;0,20;;0,18;0,18;;0,05;0,02;;20,95;21,67;;;1,50;4,90;0,00;;11,77;8,67;8,667;11,70;;0,03;0,109;0,040;;;;;1.220,39;25,91;48,44;8,57;;104,70;;8,08;8,03;0,00;;2,85;2,73;;8,43;8,433;0,00;;63,80;54,33;204,50;153,33;25,34;24,50;30,53;;1,74;2,311;0,01;;;2,300;2,493
8;2.004;136,00;1.317,33;155,74;213,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;164,38;155,74;487.060.560.000,00;172,00;3,33;155,25;;189,38;;3,00;;358,50;254,50;104,00;203,25;0,07;0,06;0,10;0,00117;;107,50;102,00;0,01;;109,33;101,25;0,00;;0,00;;270,00;;2.300,00;;60,00;;0,50;;921,33;917,50;1,00;;0,04;;0,19;;0,18;0,19;;0,10;0,04;;27,65;25,25;;;3,17;2,50;0,00;;9,23;9,00;9,000;9,35;;0,04;0,078;0,073;;;;;1.086,22;29,85;36,52;7,87;;97,87;;8,11;8,05;0,00;;3,30;3,15;;5,38;5,375;0,00;;74,85;69,00;206,50;190,50;25,79;25,45;26,80;;1,11;1,752;0,02;;;2,200;2,434
9;2.004;136,00;1.317,33;193,70;348,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;237,13;188,85;567.664.848.000,00;159,50;3,40;155,67;;189,90;;3,00;;392,00;272,67;119,00;236,33;0,07;0,03;0,10;0,00192;;110,00;109,33;0,01;;144,67;129,67;0,00;;0,00;;10.300,00;;13.300,00;;1.140,00;;2,00;;1.087,67;1.049,00;1,00;;0,04;;0,22;;0,26;0,27;;0,10;0,04;;28,70;29,00;;;5,67;2,50;0,00;;9,37;7,67;7,667;9,55;;0,04;0,077;0,040;;;;;1.285,87;49,32;26,04;7,17;;85,73;;7,91;8,03;0,00;;3,50;3,53;;6,00;6,000;0,00;;86,65;93,00;236,50;226,67;24,01;24,60;24,33;;1,30;2,185;0,02;;;2,175;1,890
10;2.004;136,00;1.317,33;173,70;493,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;180,00;165,48;508.867.488.000,00;174,00;3,40;161,00;;202,50;;3,00;;451,00;339,00;138,67;311,67;0,07;0,03;0,10;0,00162;;118,00;128,00;0,01;;179,00;194,67;0,00;;0,00;;420,00;;8.786,67;;20,50;;0,75;;1.366,22;1.352,33;1,37;;0,04;;0,22;;0,22;0,22;;0,05;0,03;;30,85;32,00;;;1,50;2,50;0,00;;12,73;9,67;9,667;12,75;;0,05;0,071;0,040;;0,50;;;1.535,46;36,66;41,91;8,67;;100,83;;7,99;8,00;0,00;;4,40;4,67;;5,50;5,500;0,00;;132,50;120,67;318,67;301,33;21,08;22,67;26,40;;1,50;1,940;0,02;;;2,625;1,420
